year,avg_temp,move_average,year1,city,country,avg_temp1,move_average1
1750,8.72,,1843,Riyadh,Saudi Arabia,24.74,
1751,7.98,,1844,Riyadh,Saudi Arabia,15.45,
1752,5.78,,1845,Riyadh,Saudi Arabia,20.82,
1753,8.39,,1846,Riyadh,Saudi Arabia,,
1754,8.47,,1847,Riyadh,Saudi Arabia,,
1755,8.36,,1848,Riyadh,Saudi Arabia,24.56,
1756,8.85,8.078571429,1849,Riyadh,Saudi Arabia,24.8,22.074
1757,9.02,8.121428571,1850,Riyadh,Saudi Arabia,24.34,21.994
1758,6.74,7.944285714,1851,Riyadh,Saudi Arabia,25.03,23.91
1759,7.99,8.26,1852,Riyadh,Saudi Arabia,24.85,24.716
1760,7.19,8.088571429,1853,Riyadh,Saudi Arabia,24.93,24.75166667
1761,8.77,8.131428571,1854,Riyadh,Saudi Arabia,24.72,24.74714286
1762,8.61,8.167142857,1855,Riyadh,Saudi Arabia,24.92,24.79857143
1763,7.5,7.974285714,1856,Riyadh,Saudi Arabia,24.57,24.76571429
1764,8.4,7.885714286,1857,Riyadh,Saudi Arabia,24.26,24.75428571
1765,8.25,8.101428571,1858,Riyadh,Saudi Arabia,25.01,24.75142857
1766,8.41,8.161428571,1859,Riyadh,Saudi Arabia,24.95,24.76571429
1767,8.22,8.308571429,1860,Riyadh,Saudi Arabia,24.94,24.76714286
1768,6.78,8.024285714,1861,Riyadh,Saudi Arabia,24.13,24.68285714
1769,7.69,7.892857143,1862,Riyadh,Saudi Arabia,23.77,24.51857143
1770,7.69,7.92,1863,Riyadh,Saudi Arabia,24.28,24.47714286
1771,7.85,7.841428571,1864,Riyadh,Saudi Arabia,25.03,24.58714286
1772,8.19,7.832857143,1865,Riyadh,Saudi Arabia,25.23,24.61857143
1773,8.22,7.805714286,1866,Riyadh,Saudi Arabia,24.92,24.61428571
1774,8.77,7.884285714,1867,Riyadh,Saudi Arabia,25.22,24.65428571
1775,9.18,8.227142857,1868,Riyadh,Saudi Arabia,25,24.77857143
1776,8.3,8.314285714,1869,Riyadh,Saudi Arabia,25.3,24.99714286
1777,8.26,8.395714286,1870,Riyadh,Saudi Arabia,25.02,25.10285714
1778,8.54,8.494285714,1871,Riyadh,Saudi Arabia,24.73,25.06
1779,8.98,8.607142857,1872,Riyadh,Saudi Arabia,24.87,25.00857143
1780,9.43,8.78,1873,Riyadh,Saudi Arabia,25.24,25.05428571
1781,8.1,8.684285714,1874,Riyadh,Saudi Arabia,24.98,25.02
1782,7.9,8.501428571,1875,Riyadh,Saudi Arabia,24.43,24.93857143
1783,7.68,8.412857143,1876,Riyadh,Saudi Arabia,24.89,24.88
1784,7.86,8.355714286,1877,Riyadh,Saudi Arabia,25.47,24.94428571
1785,7.36,8.187142857,1878,Riyadh,Saudi Arabia,25.51,25.05571429
1786,8.26,8.084285714,1879,Riyadh,Saudi Arabia,25.24,25.10857143
1787,8.03,7.884285714,1880,Riyadh,Saudi Arabia,24.8,25.04571429
